k = 4, rho = 0.500000, testing_time(maxacc): 22.044401 
k = 4, rho = 0.700000, testing_time(maxacc): 22.044401 
k = 4, rho = 0.900000, testing_time(maxacc): 22.044401 
iteration = 1, testing time when k = 2, rho = 0.100000: 3.150417
iteration = 1, testing time when k = 2, rho = 0.300000: 3.423790
iteration = 1, testing time when k = 2, rho = 0.500000: 3.531114
iteration = 1, testing time when k = 2, rho = 0.700000: 3.853977
iteration = 1, testing time when k = 2, rho = 0.900000: 4.126898
iteration = 1, testing time when k = 3, rho = 0.100000: 6.760233
iteration = 1, testing time when k = 3, rho = 0.300000: 7.510684
iteration = 1, testing time when k = 3, rho = 0.500000: 8.298063
iteration = 1, testing time when k = 3, rho = 0.700000: 9.157508
iteration = 1, testing time when k = 3, rho = 0.900000: 9.938772
iteration = 1, testing time when k = 4, rho = 0.100000: 14.762192
iteration = 1, testing time when k = 4, rho = 0.300000: 16.271635
iteration = 1, testing time when k = 4, rho = 0.500000: 18.526084
iteration = 1, testing time when k = 4, rho = 0.700000: 19.753297
iteration = 1, testing time when k = 4, rho = 0.900000: 21.662632
k = 2, rho = 0.100000, avg_testing_time : 4.126898 
k = 2, rho = 0.300000, avg_testing_time : 4.126898 
k = 2, rho = 0.500000, avg_testing_time : 4.126898 
k = 2, rho = 0.700000, avg_testing_time : 4.126898 
k = 2, rho = 0.900000, avg_testing_time : 4.126898 
k = 3, rho = 0.100000, avg_testing_time : 9.938772 
k = 3, rho = 0.300000, avg_testing_time : 9.938772 
k = 3, rho = 0.500000, avg_testing_time : 9.938772 
k = 3, rho = 0.700000, avg_testing_time : 9.938772 
k = 3, rho = 0.900000, avg_testing_time : 9.938772 
k = 4, rho = 0.100000, avg_testing_time : 21.662632 
k = 4, rho = 0.300000, avg_testing_time : 21.662632 
k = 4, rho = 0.500000, avg_testing_time : 21.662632 
k = 4, rho = 0.700000, avg_testing_time : 21.662632 
k = 4, rho = 0.900000, avg_testing_time : 21.662632 
k = 2, rho = 0.100000, testing_time(maxacc): 4.126898 
k = 2, rho = 0.300000, testing_time(maxacc): 4.126898 
k = 2, rho = 0.500000, testing_time(maxacc): 4.126898 
k = 2, rho = 0.700000, testing_time(maxacc): 4.126898 
k = 2, rho = 0.900000, testing_time(maxacc): 4.126898 
k = 3, rho = 0.100000, testing_time(maxacc): 9.938772 
k = 3, rho = 0.300000, testing_time(maxacc): 9.938772 
k = 3, rho = 0.500000, testing_time(maxacc): 9.938772 
k = 3, rho = 0.700000, testing_time(maxacc): 9.938772 
k = 3, rho = 0.900000, testing_time(maxacc): 9.938772 
k = 4, rho = 0.100000, testing_time(maxacc): 21.662632 
k = 4, rho = 0.300000, testing_time(maxacc): 21.662632 
k = 4, rho = 0.500000, testing_time(maxacc): 21.662632 
k = 4, rho = 0.700000, testing_time(maxacc): 21.662632 
k = 4, rho = 0.900000, testing_time(maxacc): 21.662632 
