k = 3, rho = 0.500000, avg_training_time : 198.491892 
k = 3, rho = 0.700000, avg_training_time : 198.491892 
k = 3, rho = 0.900000, avg_training_time : 198.491892 
k = 4, rho = 0.100000, avg_training_time : 341.176952 
k = 4, rho = 0.300000, avg_training_time : 341.176952 
k = 4, rho = 0.500000, avg_training_time : 341.176952 
k = 4, rho = 0.700000, avg_training_time : 341.176952 
k = 4, rho = 0.900000, avg_training_time : 341.176952 
k = 2, rho = 0.100000, training_time(maxacc): 124.471441 
k = 2, rho = 0.300000, training_time(maxacc): 124.471441 
k = 2, rho = 0.500000, training_time(maxacc): 124.471441 
k = 2, rho = 0.700000, training_time(maxacc): 124.471441 
k = 2, rho = 0.900000, training_time(maxacc): 124.471441 
k = 3, rho = 0.100000, training_time(maxacc): 198.491892 
k = 3, rho = 0.300000, training_time(maxacc): 198.491892 
k = 3, rho = 0.500000, training_time(maxacc): 198.491892 
k = 3, rho = 0.700000, training_time(maxacc): 198.491892 
k = 3, rho = 0.900000, training_time(maxacc): 198.491892 
k = 4, rho = 0.100000, training_time(maxacc): 341.176952 
k = 4, rho = 0.300000, training_time(maxacc): 341.176952 
k = 4, rho = 0.500000, training_time(maxacc): 341.176952 
k = 4, rho = 0.700000, training_time(maxacc): 341.176952 
k = 4, rho = 0.900000, training_time(maxacc): 341.176952 
