K=4,weight=0.000000,tolerance=0.100000, penalty=30, maximum training acc=0.9978571428571429
K=4,weight=0.000000,tolerance=0.100000, penalty=40, maximum training acc=0.9985714285714286
K=4,weight=0.000000,tolerance=0.001000, penalty=1, maximum training acc=0.9978571428571429
K=4,weight=0.000000,tolerance=0.001000, penalty=10, maximum training acc=0.9992857142857143
K=4,weight=0.000000,tolerance=0.001000, penalty=20, maximum training acc=0.9971428571428571
K=4,weight=0.000000,tolerance=0.001000, penalty=30, maximum training acc=0.9985714285714286
K=4,weight=0.000000,tolerance=0.001000, penalty=40, maximum training acc=0.9992857142857143
K=4,weight=0.000000,tolerance=0.000010, penalty=1, maximum training acc=0.9971428571428571
K=4,weight=0.000000,tolerance=0.000010, penalty=10, maximum training acc=0.9964285714285714
K=4,weight=0.000000,tolerance=0.000010, penalty=20, maximum training acc=0.9978571428571429
K=4,weight=0.000000,tolerance=0.000010, penalty=30, maximum training acc=0.9978571428571429
K=4,weight=0.000000,tolerance=0.000010, penalty=40, maximum training acc=0.9971428571428571
K=4,weight=2.000000,tolerance=0.100000, penalty=1, maximum training acc=0.9828571428571429
K=4,weight=2.000000,tolerance=0.100000, penalty=10, maximum training acc=0.9871428571428571
K=4,weight=2.000000,tolerance=0.100000, penalty=20, maximum training acc=0.9842857142857143
K=4,weight=2.000000,tolerance=0.100000, penalty=30, maximum training acc=0.9871428571428571
K=4,weight=2.000000,tolerance=0.100000, penalty=40, maximum training acc=0.9885714285714285
K=4,weight=2.000000,tolerance=0.001000, penalty=1, maximum training acc=0.99
K=4,weight=2.000000,tolerance=0.001000, penalty=10, maximum training acc=0.9857142857142858
K=4,weight=2.000000,tolerance=0.001000, penalty=20, maximum training acc=0.9842857142857143
K=4,weight=2.000000,tolerance=0.001000, penalty=30, maximum training acc=0.99
K=4,weight=2.000000,tolerance=0.001000, penalty=40, maximum training acc=0.9885714285714285
K=4,weight=2.000000,tolerance=0.000010, penalty=1, maximum training acc=0.99
K=4,weight=2.000000,tolerance=0.000010, penalty=10, maximum training acc=0.9835714285714285
K=4,weight=2.000000,tolerance=0.000010, penalty=20, maximum training acc=0.9864285714285714
K=4,weight=2.000000,tolerance=0.000010, penalty=30, maximum training acc=0.9892857142857143
K=4,weight=2.000000,tolerance=0.000010, penalty=40, maximum training acc=0.9864285714285714
K=4,weight=4.000000,tolerance=0.100000, penalty=1, maximum training acc=0.9814285714285714
K=4,weight=4.000000,tolerance=0.100000, penalty=10, maximum training acc=0.9842857142857143
K=4,weight=4.000000,tolerance=0.100000, penalty=20, maximum training acc=0.985
K=4,weight=4.000000,tolerance=0.100000, penalty=30, maximum training acc=0.985
K=4,weight=4.000000,tolerance=0.100000, penalty=40, maximum training acc=0.9878571428571429
K=4,weight=4.000000,tolerance=0.001000, penalty=1, maximum training acc=0.9807142857142858
K=4,weight=4.000000,tolerance=0.001000, penalty=10, maximum training acc=0.9835714285714285
K=4,weight=4.000000,tolerance=0.001000, penalty=20, maximum training acc=0.985
K=4,weight=4.000000,tolerance=0.001000, penalty=30, maximum training acc=0.9864285714285714
K=4,weight=4.000000,tolerance=0.001000, penalty=40, maximum training acc=0.9871428571428571
K=4,weight=4.000000,tolerance=0.000010, penalty=1, maximum training acc=0.9807142857142858
K=4,weight=4.000000,tolerance=0.000010, penalty=10, maximum training acc=0.9835714285714285
K=4,weight=4.000000,tolerance=0.000010, penalty=20, maximum training acc=0.985
K=4,weight=4.000000,tolerance=0.000010, penalty=30, maximum training acc=0.985
K=4,weight=4.000000,tolerance=0.000010, penalty=40, maximum training acc=0.9842857142857143
K=4,weight=6.000000,tolerance=0.100000, penalty=1, maximum training acc=0.9807142857142858
K=4,weight=6.000000,tolerance=0.100000, penalty=10, maximum training acc=0.9842857142857143
K=4,weight=6.000000,tolerance=0.100000, penalty=20, maximum training acc=0.985
K=4,weight=6.000000,tolerance=0.100000, penalty=30, maximum training acc=0.9864285714285714
K=4,weight=6.000000,tolerance=0.100000, penalty=40, maximum training acc=0.9871428571428571
K=4,weight=6.000000,tolerance=0.001000, penalty=1, maximum training acc=0.9807142857142858
K=4,weight=6.000000,tolerance=0.001000, penalty=10, maximum training acc=0.9842857142857143
K=4,weight=6.000000,tolerance=0.001000, penalty=20, maximum training acc=0.985
K=4,weight=6.000000,tolerance=0.001000, penalty=30, maximum training acc=0.9835714285714285
K=4,weight=6.000000,tolerance=0.001000, penalty=40, maximum training acc=0.9864285714285714
K=4,weight=6.000000,tolerance=0.000010, penalty=1, maximum training acc=0.9807142857142858
K=4,weight=6.000000,tolerance=0.000010, penalty=10, maximum training acc=0.9842857142857143
K=4,weight=6.000000,tolerance=0.000010, penalty=20, maximum training acc=0.985
K=4,weight=6.000000,tolerance=0.000010, penalty=30, maximum training acc=0.985
K=4,weight=6.000000,tolerance=0.000010, penalty=40, maximum training acc=0.9871428571428571
K=4,weight=8.000000,tolerance=0.100000, penalty=1, maximum training acc=0.9807142857142858
K=4,weight=8.000000,tolerance=0.100000, penalty=10, maximum training acc=0.9842857142857143
K=4,weight=8.000000,tolerance=0.100000, penalty=20, maximum training acc=0.9842857142857143
K=4,weight=8.000000,tolerance=0.100000, penalty=30, maximum training acc=0.9842857142857143
K=4,weight=8.000000,tolerance=0.100000, penalty=40, maximum training acc=0.985
K=4,weight=8.000000,tolerance=0.001000, penalty=1, maximum training acc=0.9807142857142858
K=4,weight=8.000000,tolerance=0.001000, penalty=10, maximum training acc=0.9835714285714285
K=4,weight=8.000000,tolerance=0.001000, penalty=20, maximum training acc=0.985
K=4,weight=8.000000,tolerance=0.001000, penalty=30, maximum training acc=0.9842857142857143
K=4,weight=8.000000,tolerance=0.001000, penalty=40, maximum training acc=0.9842857142857143
K=4,weight=8.000000,tolerance=0.000010, penalty=1, maximum training acc=0.9807142857142858
K=4,weight=8.000000,tolerance=0.000010, penalty=10, maximum training acc=0.9842857142857143
K=4,weight=8.000000,tolerance=0.000010, penalty=20, maximum training acc=0.9842857142857143
K=4,weight=8.000000,tolerance=0.000010, penalty=30, maximum training acc=0.9835714285714285
K=4,weight=8.000000,tolerance=0.000010, penalty=40, maximum training acc=0.9857142857142858
K=5,weight=0.000000,tolerance=0.100000, penalty=1, maximum training acc=0.9971428571428571
K=5,weight=0.000000,tolerance=0.100000, penalty=10, maximum training acc=0.9985714285714286
K=5,weight=0.000000,tolerance=0.100000, penalty=20, maximum training acc=0.9985714285714286
K=5,weight=0.000000,tolerance=0.100000, penalty=30, maximum training acc=0.9992857142857143
K=5,weight=0.000000,tolerance=0.100000, penalty=40, maximum training acc=0.9992857142857143
K=5,weight=0.000000,tolerance=0.001000, penalty=1, maximum training acc=0.9978571428571429
K=5,weight=0.000000,tolerance=0.001000, penalty=10, maximum training acc=0.9985714285714286
K=5,weight=0.000000,tolerance=0.001000, penalty=20, maximum training acc=0.9971428571428571
K=5,weight=0.000000,tolerance=0.001000, penalty=30, maximum training acc=0.9985714285714286
K=5,weight=0.000000,tolerance=0.001000, penalty=40, maximum training acc=1.0
K=5,weight=0.000000,tolerance=0.000010, penalty=1, maximum training acc=0.9978571428571429
K=5,weight=0.000000,tolerance=0.000010, penalty=10, maximum training acc=0.9978571428571429
K=5,weight=0.000000,tolerance=0.000010, penalty=20, maximum training acc=1.0
K=5,weight=0.000000,tolerance=0.000010, penalty=30, maximum training acc=1.0
K=5,weight=0.000000,tolerance=0.000010, penalty=40, maximum training acc=0.9957142857142857
K=5,weight=2.000000,tolerance=0.100000, penalty=1, maximum training acc=0.9835714285714285
K=5,weight=2.000000,tolerance=0.100000, penalty=10, maximum training acc=0.99
K=5,weight=2.000000,tolerance=0.100000, penalty=20, maximum training acc=0.9928571428571429
K=5,weight=2.000000,tolerance=0.100000, penalty=30, maximum training acc=0.99
K=5,weight=2.000000,tolerance=0.100000, penalty=40, maximum training acc=0.9871428571428571
K=5,weight=2.000000,tolerance=0.001000, penalty=1, maximum training acc=0.9828571428571429
K=5,weight=2.000000,tolerance=0.001000, penalty=10, maximum training acc=0.99
