K=2,weight=4.000000,tolerance=0.001000, penalty=10,training time : 2.489344, testing time: 0.022940 
K=2,weight=4.000000,tolerance=0.001000, penalty=20,training time : 2.505301, testing time: 0.027926 
K=2,weight=4.000000,tolerance=0.001000, penalty=30,training time : 2.041542, testing time: 0.023936 
K=2,weight=4.000000,tolerance=0.001000, penalty=40,training time : 2.508293, testing time: 0.023936 
K=2,weight=4.000000,tolerance=0.000010, penalty=1,training time : 2.437483, testing time: 0.023936 
K=2,weight=4.000000,tolerance=0.000010, penalty=10,training time : 2.486352, testing time: 0.023834 
K=2,weight=4.000000,tolerance=0.000010, penalty=20,training time : 2.444463, testing time: 0.024934 
K=2,weight=4.000000,tolerance=0.000010, penalty=30,training time : 2.579104, testing time: 0.024933 
K=2,weight=4.000000,tolerance=0.000010, penalty=40,training time : 2.470394, testing time: 0.023937 
K=2,weight=6.000000,tolerance=0.100000, penalty=1,training time : 2.844394, testing time: 0.117686 
K=2,weight=6.000000,tolerance=0.100000, penalty=10,training time : 2.450448, testing time: 0.023936 
K=2,weight=6.000000,tolerance=0.100000, penalty=20,training time : 2.511286, testing time: 0.023937 
K=2,weight=6.000000,tolerance=0.100000, penalty=30,training time : 2.966070, testing time: 0.023936 
K=2,weight=6.000000,tolerance=0.100000, penalty=40,training time : 2.458426, testing time: 0.023937 
K=2,weight=6.000000,tolerance=0.001000, penalty=1,training time : 2.783557, testing time: 0.023937 
K=2,weight=6.000000,tolerance=0.001000, penalty=10,training time : 2.917199, testing time: 0.025931 
K=2,weight=6.000000,tolerance=0.001000, penalty=20,training time : 2.458427, testing time: 0.025932 
K=2,weight=6.000000,tolerance=0.001000, penalty=30,training time : 2.482363, testing time: 0.024935 
K=2,weight=6.000000,tolerance=0.001000, penalty=40,training time : 2.533227, testing time: 0.022939 
K=2,weight=6.000000,tolerance=0.000010, penalty=1,training time : 2.885286, testing time: 0.026929 
K=2,weight=6.000000,tolerance=0.000010, penalty=10,training time : 2.900245, testing time: 0.023937 
K=2,weight=6.000000,tolerance=0.000010, penalty=20,training time : 2.528239, testing time: 0.028922 
K=2,weight=6.000000,tolerance=0.000010, penalty=30,training time : 2.466405, testing time: 0.022938 
K=2,weight=6.000000,tolerance=0.000010, penalty=40,training time : 2.643930, testing time: 0.028922 
K=2,weight=8.000000,tolerance=0.100000, penalty=1,training time : 2.915205, testing time: 0.022938 
K=2,weight=8.000000,tolerance=0.100000, penalty=10,training time : 2.450447, testing time: 0.024934 
K=2,weight=8.000000,tolerance=0.100000, penalty=20,training time : 2.879301, testing time: 0.023937 
K=2,weight=8.000000,tolerance=0.100000, penalty=30,training time : 2.467402, testing time: 0.023936 
K=2,weight=8.000000,tolerance=0.100000, penalty=40,training time : 2.454437, testing time: 0.023937 
K=2,weight=8.000000,tolerance=0.001000, penalty=1,training time : 2.789637, testing time: 0.024934 
K=2,weight=8.000000,tolerance=0.001000, penalty=10,training time : 2.535221, testing time: 0.024934 
K=2,weight=8.000000,tolerance=0.001000, penalty=20,training time : 2.904234, testing time: 0.022939 
K=2,weight=8.000000,tolerance=0.001000, penalty=30,training time : 2.480369, testing time: 0.023936 
K=2,weight=8.000000,tolerance=0.001000, penalty=40,training time : 2.894261, testing time: 0.023882 
K=2,weight=8.000000,tolerance=0.000010, penalty=1,training time : 2.881296, testing time: 0.023936 
K=2,weight=8.000000,tolerance=0.000010, penalty=10,training time : 2.475381, testing time: 0.024934 
K=2,weight=8.000000,tolerance=0.000010, penalty=20,training time : 2.465408, testing time: 0.023938 
K=2,weight=8.000000,tolerance=0.000010, penalty=30,training time : 2.462416, testing time: 0.023937 
K=2,weight=8.000000,tolerance=0.000010, penalty=40,training time : 2.485354, testing time: 0.023937 
K=3,weight=0.000000,tolerance=0.100000, penalty=1,training time : 5.458405, testing time: 0.028922 
K=3,weight=0.000000,tolerance=0.100000, penalty=10,training time : 10.262560, testing time: 0.027926 
K=3,weight=0.000000,tolerance=0.100000, penalty=20,training time : 6.390912, testing time: 0.028923 
K=3,weight=0.000000,tolerance=0.100000, penalty=30,training time : 3.856688, testing time: 0.029920 
K=3,weight=0.000000,tolerance=0.100000, penalty=40,training time : 2.374651, testing time: 0.028923 
K=3,weight=0.000000,tolerance=0.001000, penalty=1,training time : 8.947077, testing time: 0.028923 
K=3,weight=0.000000,tolerance=0.001000, penalty=10,training time : 4.961733, testing time: 0.028923 
K=3,weight=0.000000,tolerance=0.001000, penalty=20,training time : 3.030895, testing time: 0.028922 
K=3,weight=0.000000,tolerance=0.001000, penalty=30,training time : 3.215402, testing time: 0.028923 
K=3,weight=0.000000,tolerance=0.001000, penalty=40,training time : 3.060816, testing time: 0.028923 
K=3,weight=0.000000,tolerance=0.000010, penalty=1,training time : 9.536501, testing time: 0.028923 
K=3,weight=0.000000,tolerance=0.000010, penalty=10,training time : 6.406869, testing time: 0.028923 
K=3,weight=0.000000,tolerance=0.000010, penalty=20,training time : 3.757952, testing time: 0.029921 
K=3,weight=0.000000,tolerance=0.000010, penalty=30,training time : 4.353360, testing time: 0.028924 
K=3,weight=0.000000,tolerance=0.000010, penalty=40,training time : 3.098714, testing time: 0.028923 
K=3,weight=2.000000,tolerance=0.100000, penalty=1,training time : 2.921189, testing time: 0.030918 
K=3,weight=2.000000,tolerance=0.100000, penalty=10,training time : 4.229691, testing time: 0.035904 
K=3,weight=2.000000,tolerance=0.100000, penalty=20,training time : 3.012944, testing time: 0.028924 
K=3,weight=2.000000,tolerance=0.100000, penalty=30,training time : 2.912213, testing time: 0.030917 
K=3,weight=2.000000,tolerance=0.100000, penalty=40,training time : 3.018928, testing time: 0.028922 
K=3,weight=2.000000,tolerance=0.001000, penalty=1,training time : 3.049845, testing time: 0.029920 
K=3,weight=2.000000,tolerance=0.001000, penalty=10,training time : 4.372309, testing time: 0.028923 
K=3,weight=2.000000,tolerance=0.001000, penalty=20,training time : 3.586410, testing time: 0.028923 
K=3,weight=2.000000,tolerance=0.001000, penalty=30,training time : 2.972053, testing time: 0.028923 
K=3,weight=2.000000,tolerance=0.001000, penalty=40,training time : 3.007958, testing time: 0.028924 
K=3,weight=2.000000,tolerance=0.000010, penalty=1,training time : 2.993995, testing time: 0.028923 
K=3,weight=2.000000,tolerance=0.000010, penalty=10,training time : 4.372309, testing time: 0.028923 
K=3,weight=2.000000,tolerance=0.000010, penalty=20,training time : 2.939142, testing time: 0.031915 
K=3,weight=2.000000,tolerance=0.000010, penalty=30,training time : 2.995989, testing time: 0.028923 
K=3,weight=2.000000,tolerance=0.000010, penalty=40,training time : 3.048848, testing time: 0.030917 
K=3,weight=4.000000,tolerance=0.100000, penalty=1,training time : 3.581474, testing time: 0.028923 
K=3,weight=4.000000,tolerance=0.100000, penalty=10,training time : 2.945125, testing time: 0.030935 
K=3,weight=4.000000,tolerance=0.100000, penalty=20,training time : 3.678165, testing time: 0.031915 
K=3,weight=4.000000,tolerance=0.100000, penalty=30,training time : 2.969061, testing time: 0.029920 
K=3,weight=4.000000,tolerance=0.100000, penalty=40,training time : 2.965071, testing time: 0.029921 
K=3,weight=4.000000,tolerance=0.001000, penalty=1,training time : 2.927173, testing time: 0.028923 
K=3,weight=4.000000,tolerance=0.001000, penalty=10,training time : 2.945125, testing time: 0.028923 
