K=2,weight=2.000000,tolerance=0.001000, penalty=10,training time : 8.375591, testing time: 0.050864 
K=2,weight=2.000000,tolerance=0.001000, penalty=20,training time : 13.328339, testing time: 0.063748 
K=2,weight=2.000000,tolerance=0.001000, penalty=30,training time : 10.891859, testing time: 0.051862 
K=2,weight=2.000000,tolerance=0.001000, penalty=40,training time : 20.639778, testing time: 0.050864 
K=2,weight=2.000000,tolerance=0.000010, penalty=1,training time : 12.776816, testing time: 0.056848 
K=2,weight=2.000000,tolerance=0.000010, penalty=10,training time : 17.756493, testing time: 0.050864 
K=2,weight=2.000000,tolerance=0.000010, penalty=20,training time : 16.247530, testing time: 0.050864 
K=2,weight=2.000000,tolerance=0.000010, penalty=30,training time : 10.725306, testing time: 0.063829 
K=2,weight=2.000000,tolerance=0.000010, penalty=40,training time : 8.464353, testing time: 0.050864 
K=2,weight=4.000000,tolerance=0.100000, penalty=1,training time : 9.213349, testing time: 0.064881 
K=2,weight=4.000000,tolerance=0.100000, penalty=10,training time : 10.806207, testing time: 0.055850 
K=2,weight=4.000000,tolerance=0.100000, penalty=20,training time : 11.172109, testing time: 0.064827 
K=2,weight=4.000000,tolerance=0.100000, penalty=30,training time : 11.364616, testing time: 0.050864 
K=2,weight=4.000000,tolerance=0.100000, penalty=40,training time : 11.036472, testing time: 0.051862 
K=2,weight=4.000000,tolerance=0.001000, penalty=1,training time : 12.773759, testing time: 0.050864 
K=2,weight=4.000000,tolerance=0.001000, penalty=10,training time : 8.432532, testing time: 0.066821 
K=2,weight=4.000000,tolerance=0.001000, penalty=20,training time : 12.952346, testing time: 0.052859 
K=2,weight=4.000000,tolerance=0.001000, penalty=30,training time : 10.952696, testing time: 0.051862 
K=2,weight=4.000000,tolerance=0.001000, penalty=40,training time : 13.333426, testing time: 0.065825 
K=2,weight=4.000000,tolerance=0.000010, penalty=1,training time : 8.250924, testing time: 0.050865 
K=2,weight=4.000000,tolerance=0.000010, penalty=10,training time : 13.032132, testing time: 0.055850 
K=2,weight=4.000000,tolerance=0.000010, penalty=20,training time : 8.430444, testing time: 0.052858 
K=2,weight=4.000000,tolerance=0.000010, penalty=30,training time : 13.673417, testing time: 0.053857 
K=2,weight=4.000000,tolerance=0.000010, penalty=40,training time : 15.961296, testing time: 0.057846 
K=2,weight=6.000000,tolerance=0.100000, penalty=1,training time : 9.674117, testing time: 0.051862 
K=2,weight=6.000000,tolerance=0.100000, penalty=10,training time : 13.110922, testing time: 0.051862 
K=2,weight=6.000000,tolerance=0.100000, penalty=20,training time : 13.607593, testing time: 0.053858 
K=2,weight=6.000000,tolerance=0.100000, penalty=30,training time : 13.469962, testing time: 0.051862 
K=2,weight=6.000000,tolerance=0.100000, penalty=40,training time : 8.882236, testing time: 0.052859 
K=2,weight=6.000000,tolerance=0.001000, penalty=1,training time : 12.618240, testing time: 0.169546 
K=2,weight=6.000000,tolerance=0.001000, penalty=10,training time : 13.031135, testing time: 0.050865 
K=2,weight=6.000000,tolerance=0.001000, penalty=20,training time : 11.022509, testing time: 0.051861 
K=2,weight=6.000000,tolerance=0.001000, penalty=30,training time : 8.614951, testing time: 0.061835 
