K=2,weight=4.000000,tolerance=0.000010, penalty=10, maximum training acc=0.5868089233753637
K=2,weight=4.000000,tolerance=0.000010, penalty=20, maximum training acc=0.5751697381183317
K=2,weight=4.000000,tolerance=0.000010, penalty=30, maximum training acc=0.5809893307468477
K=2,weight=4.000000,tolerance=0.000010, penalty=40, maximum training acc=0.542192046556741
K=2,weight=6.000000,tolerance=0.100000, penalty=1, maximum training acc=0.5838991270611057
K=2,weight=6.000000,tolerance=0.100000, penalty=10, maximum training acc=0.5829291949563531
K=2,weight=6.000000,tolerance=0.100000, penalty=20, maximum training acc=0.5412221144519883
K=2,weight=6.000000,tolerance=0.100000, penalty=30, maximum training acc=0.5712900096993211
K=2,weight=6.000000,tolerance=0.100000, penalty=40, maximum training acc=0.5557710960232783
K=2,weight=6.000000,tolerance=0.001000, penalty=1, maximum training acc=0.5829291949563531
K=2,weight=6.000000,tolerance=0.001000, penalty=10, maximum training acc=0.5751697381183317
K=2,weight=6.000000,tolerance=0.001000, penalty=20, maximum training acc=0.5751697381183317
K=2,weight=6.000000,tolerance=0.001000, penalty=30, maximum training acc=0.5645004849660524
K=2,weight=6.000000,tolerance=0.001000, penalty=40, maximum training acc=0.5645004849660524
K=2,weight=6.000000,tolerance=0.000010, penalty=1, maximum training acc=0.5829291949563531
K=2,weight=6.000000,tolerance=0.000010, penalty=10, maximum training acc=0.5868089233753637
K=2,weight=6.000000,tolerance=0.000010, penalty=20, maximum training acc=0.5664403491755577
K=2,weight=6.000000,tolerance=0.000010, penalty=30, maximum training acc=0.5722599418040737
K=2,weight=6.000000,tolerance=0.000010, penalty=40, maximum training acc=0.5712900096993211
K=2,weight=8.000000,tolerance=0.100000, penalty=1, maximum training acc=0.5848690591658584
K=2,weight=8.000000,tolerance=0.100000, penalty=10, maximum training acc=0.5838991270611057
K=2,weight=8.000000,tolerance=0.100000, penalty=20, maximum training acc=0.562560620756547
K=2,weight=8.000000,tolerance=0.100000, penalty=30, maximum training acc=0.5615906886517944
K=2,weight=8.000000,tolerance=0.100000, penalty=40, maximum training acc=0.5431619786614937
K=2,weight=8.000000,tolerance=0.001000, penalty=1, maximum training acc=0.5800193986420951
K=2,weight=8.000000,tolerance=0.001000, penalty=10, maximum training acc=0.5722599418040737
K=2,weight=8.000000,tolerance=0.001000, penalty=20, maximum training acc=0.577109602327837
K=2,weight=8.000000,tolerance=0.001000, penalty=30, maximum training acc=0.562560620756547
K=2,weight=8.000000,tolerance=0.001000, penalty=40, maximum training acc=0.5615906886517944
K=2,weight=8.000000,tolerance=0.000010, penalty=1, maximum training acc=0.5800193986420951
K=2,weight=8.000000,tolerance=0.000010, penalty=10, maximum training acc=0.5800193986420951
K=2,weight=8.000000,tolerance=0.000010, penalty=20, maximum training acc=0.5751697381183317
K=2,weight=8.000000,tolerance=0.000010, penalty=30, maximum training acc=0.5567410281280311
K=2,weight=8.000000,tolerance=0.000010, penalty=40, maximum training acc=0.542192046556741
K=3,weight=0.000000,tolerance=0.100000, penalty=1, maximum training acc=0.9951503394762367
K=3,weight=0.000000,tolerance=0.100000, penalty=10, maximum training acc=0.9961202715809894
K=3,weight=0.000000,tolerance=0.100000, penalty=20, maximum training acc=0.9835111542192047
K=3,weight=0.000000,tolerance=0.100000, penalty=30, maximum training acc=0.9612027158098934
K=3,weight=0.000000,tolerance=0.100000, penalty=40, maximum training acc=0.9990300678952473
K=3,weight=0.000000,tolerance=0.001000, penalty=1, maximum training acc=0.9951503394762367
K=3,weight=0.000000,tolerance=0.001000, penalty=10, maximum training acc=0.9941804073714839
K=3,weight=0.000000,tolerance=0.001000, penalty=20, maximum training acc=0.9903006789524733
K=3,weight=0.000000,tolerance=0.001000, penalty=30, maximum training acc=0.9776915615906887
