iteration = 1, testing time when k = 2, rho = 0.700000: 5.545779
iteration = 1, testing time when k = 2, rho = 0.900000: 6.120713
iteration = 1, testing time when k = 3, rho = 0.100000: 8.513171
iteration = 1, testing time when k = 3, rho = 0.300000: 9.449650
iteration = 1, testing time when k = 3, rho = 0.500000: 10.309203
iteration = 1, testing time when k = 3, rho = 0.700000: 11.244912
iteration = 1, testing time when k = 3, rho = 0.900000: 12.107933
iteration = 1, testing time when k = 4, rho = 0.100000: 16.682929
iteration = 1, testing time when k = 4, rho = 0.300000: 18.293047
iteration = 1, testing time when k = 4, rho = 0.500000: 19.663698
iteration = 1, testing time when k = 4, rho = 0.700000: 22.106331
iteration = 1, testing time when k = 4, rho = 0.900000: 25.615936
k = 2, rho = 0.100000, avg_testing_time : 6.120713 
k = 2, rho = 0.300000, avg_testing_time : 6.120713 
k = 2, rho = 0.500000, avg_testing_time : 6.120713 
k = 2, rho = 0.700000, avg_testing_time : 6.120713 
k = 2, rho = 0.900000, avg_testing_time : 6.120713 
k = 3, rho = 0.100000, avg_testing_time : 12.107933 
k = 3, rho = 0.300000, avg_testing_time : 12.107933 
k = 3, rho = 0.500000, avg_testing_time : 12.107933 
k = 3, rho = 0.700000, avg_testing_time : 12.107933 
k = 3, rho = 0.900000, avg_testing_time : 12.107933 
k = 4, rho = 0.100000, avg_testing_time : 25.615936 
k = 4, rho = 0.300000, avg_testing_time : 25.615936 
k = 4, rho = 0.500000, avg_testing_time : 25.615936 
k = 4, rho = 0.700000, avg_testing_time : 25.615936 
k = 4, rho = 0.900000, avg_testing_time : 25.615936 
k = 2, rho = 0.100000, testing_time(maxacc): 6.120713 
k = 2, rho = 0.300000, testing_time(maxacc): 6.120713 
k = 2, rho = 0.500000, testing_time(maxacc): 6.120713 
k = 2, rho = 0.700000, testing_time(maxacc): 6.120713 
k = 2, rho = 0.900000, testing_time(maxacc): 6.120713 
k = 3, rho = 0.100000, testing_time(maxacc): 12.107933 
k = 3, rho = 0.300000, testing_time(maxacc): 12.107933 
k = 3, rho = 0.500000, testing_time(maxacc): 12.107933 
k = 3, rho = 0.700000, testing_time(maxacc): 12.107933 
k = 3, rho = 0.900000, testing_time(maxacc): 12.107933 
k = 4, rho = 0.100000, testing_time(maxacc): 25.615936 
k = 4, rho = 0.300000, testing_time(maxacc): 25.615936 
k = 4, rho = 0.500000, testing_time(maxacc): 25.615936 
k = 4, rho = 0.700000, testing_time(maxacc): 25.615936 
k = 4, rho = 0.900000, testing_time(maxacc): 25.615936 
iteration = 1, testing time when k = 2, rho = 0.100000: 4.501033
iteration = 1, testing time when k = 2, rho = 0.300000: 4.934298
iteration = 1, testing time when k = 2, rho = 0.500000: 5.077102
iteration = 1, testing time when k = 2, rho = 0.700000: 5.695864
iteration = 1, testing time when k = 2, rho = 0.900000: 5.927832
iteration = 1, testing time when k = 3, rho = 0.100000: 8.334873
iteration = 1, testing time when k = 3, rho = 0.300000: 9.258283
iteration = 1, testing time when k = 3, rho = 0.500000: 10.221263
